"","election","province","district","candidate","media_mentions","current_vote","previous_vote","winner","liberal","conservative","ndp","bq","other","gender","year_served","place","p2p","government"
"76",2006,"SK","Palliser","Dave Batters ** Conservative/Conservateur",91,42.9900016784668,35.8499984741211,1,0,1,0,0,0,"Male",2,90,0,0
"77",2006,"ON","Oxford","Dave MacKenzie ** Conservative/Conservateur",24,46.5499992370605,44.8899993896484,1,0,1,0,0,0,"Male",2,149,0,0
"79",2008,"ON","Hamilton Centre","David  Christopherson",112,49.2999992370605,51.2900009155273,1,0,0,1,0,0,"Male",4,238,0,0
"80",2008,"ON","Ottawa South","David  McGuinty",899,49.7999992370605,44.1500015258789,1,1,0,0,0,0,"Male",4,107,1,0
"81",2008,"ON","Dufferin--Caledon","David  Tilson",46,53.0999984741211,47.939998626709,1,0,1,0,0,0,"Male",4,209,0,1
"82",2006,"SK","Cypress Hills--Grasslands","David Anderson ** Conservative/Conservateur",870,66.4800033569336,60.6399993896484,1,0,1,0,0,0,"Male",6,23,1,0
"83",2006,"ON","Hamilton Centre/Hamilton-Centre","David Christopherson ** N.D.P./N.P.D.",49,51.2900009155273,45.810001373291,1,0,0,1,0,0,"Male",2,171,0,0
"84",2006,"ON","Ottawa South/Ottawa-Sud","David McGuinty ** Liberal/Lib»ral",90,44.1500015258789,43.8199996948242,1,1,0,0,0,0,"Male",2,179,0,1
"85",2006,"QC","Pontiac","David Smith ** Liberal/Lib»ral",363,24.2299995422363,38.3600006103516,0,1,0,0,0,0,"Male",2,178,0,1
"86",2006,"ON","Dufferin--Caledon","David Tilson ** Conservative/Conservateur",38,47.939998626709,42.810001373291,1,0,1,0,0,0,"Male",2,105,0,0
"87",2008,"BC","New Westminster--Coquitlam","Dawn  Black",881,41.7999992370605,38.3199996948242,1,0,0,1,0,0,"Female",7,117,0,0
"88",2008,"ON","Niagara West--Glanbrook","Dean  Allison",26,52,47.3800010681152,1,0,1,0,0,0,"Male",4,66,1,1
"89",2008,"ON","Peterborough","Dean  Del Mastro",84,47.4000015258789,35.9000015258789,1,0,1,0,0,0,"Male",2,161,0,1
"90",2006,"ON","Niagara West--Glanbrook/Niagara-Ouest--Glanbrook","Dean Allison ** Conservative/Conservateur",37,47.3800010681152,40.2900009155273,1,0,1,0,0,0,"Male",2,96,0,0
"91",2006,"AL","Calgary East/Calgary-Est","Deepak Obhrai ** Conservative/Conservateur",99,67.0999984741211,61.1199989318848,1,0,1,0,0,0,"Male",9,175,0,0
