"","election","province","district","candidate","media_mentions","current_vote","previous_vote","winner","liberal","conservative","ndp","bq","other","gender","year_served","place","p2p","government"
"208",2008,"ON","Bruce--Grey--Owen Sound","Larry  Miller",155,47.5999984741211,48.1800003051758,1,0,1,0,0,0,"Male",4,225,0,1
"209",2006,"ON","Bruce--Grey--Owen Sound","Larry Miller ** Conservative/Conservateur",70,48.1800003051758,44.9900016784668,1,0,1,0,0,0,"Male",2,192,0,0
"210",2008,"PEI","Cardigan","Lawrence  MacAulay",113,52.7999992370605,56.2099990844727,1,1,0,0,0,0,"Male",20,236,0,0
"211",2006,"PEI","Cardigan","Lawrence MacAulay ** Liberal/Lib»ral",175,56.2099990844727,53.3800010681152,1,1,0,0,0,0,"Male",18,144,0,1
"212",2008,"AL","Calgary Centre","Lee  Richardson",164,55.2000007629395,55.4099998474121,1,0,1,0,0,0,"Male",9,146,0,1
"213",2006,"AL","Calgary Centre/Calgary-Centre","Lee Richardson ** Conservative/Conservateur",147,55.4099998474121,51.1599998474121,1,0,1,0,0,0,"Male",7,225,0,0
"214",2008,"AL","Vegreville--Wainwright","Leon  Benoit",99,76.6999969482422,74.1699981689453,1,0,1,0,0,0,"Male",15,2,1,1
"215",2006,"AL","Vegreville--Wainwright","Leon Benoit ** Conservative/Conservateur",59,74.1699981689453,73.5400009155273,1,0,1,0,0,0,"Male",13,66,1,0
"216",2008,"BC","Vancouver East","Libby  Davies",478,54.4000015258789,56.5699996948242,1,0,0,1,0,0,"Female",11,243,0,0
"217",2006,"BC","Vancouver East/Vancouver-Est","Libby Davies ** N.D.P./N.P.D.",546,56.5699996948242,56.4599990844727,1,0,0,1,0,0,"Female",9,174,0,0
"218",2008,"ON","Brant","Lloyd  St. Amand",14,33.0999984741211,36.9500007629395,0,1,0,0,0,0,"Male",4,122,0,0
"219",2006,"ON","Brant","Lloyd St. Amand ** Liberal/Lib»ral",5,36.9500007629395,38.0499992370605,1,1,0,0,0,0,"Male",2,208,0,1
"220",2008,"QC","Bas-Richelieu--Nicolet--B»cancour","Louis  Plamondon",53,54.5999984741211,55.9199981689453,1,0,0,0,1,0,"Male",24,164,0,0
"221",2006,"QC","Bas-Richelieu--Nicolet--B»cancour","Louis Plamondon ** Bloc Qu»b»cois/Bloc Qu»b»cois",10,55.9199981689453,64.6699981689453,1,0,0,0,1,0,"Male",22,223,0,0
"222",2006,"QC","Rimouski-Neigette--T»miscouata--Les Basques","Louise Thibault ** Bloc Qu»b»cois/Bloc Qu»b»cois",14,46.3800010681152,57.6300010681152,1,0,0,0,1,0,"Female",2,78,1,0
"223",2006,"NFLD","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","Loyola Hearn ** Conservative/Conservateur",278,44.689998626709,39.5699996948242,1,0,1,0,0,0,"Male",6,88,0,0
"224",2008,"QC","VerchÀres--Les Patriotes","Luc  Malo",25,50.5,57.4300003051758,1,0,0,0,1,0,"Male",2,110,1,0
"225",2008,"ON","Oak Ridges--Markham","Lui  Temelkovski",25,41.5,47.060001373291,0,1,0,0,0,0,"Male",4,8,1,0
"226",2006,"ON","Oak Ridges--Markham","Lui Temelkovski ** Liberal/Lib»ral",13,47.060001373291,51.7299995422363,1,1,0,0,0,0,"Male",2,125,0,1
"227",2006,"ON","Kitchener--Conestoga","Lynn Myers ** Liberal/Lib»ral",11,38.4799995422363,42.2900009155273,0,1,0,0,0,0,"Male",9,215,0,1
"228",2006,"SK","Blackstrap","Lynne Yelich ** Conservative/Conservateur",79,47.9900016784668,41.4799995422363,1,0,1,0,0,0,"Female",6,205,0,0
"229",2006,"ON","Oakville","M. A. Bonnie Brown ** Liberal/Lib»ral",50,43.3499984741211,52.0099983215332,1,1,0,0,0,0,"Female",13,182,0,1
"230",2008,"ON","Oakville","M.A. Bonnie  Brown",123,37,43.3499984741211,0,1,0,0,0,0,"Female",15,234,0,0
"231",2006,"QC","Saint-Lambert","Maka Kotto ** Bloc Qu»b»cois/Bloc Qu»b»cois",48,45.2999992370605,48.8400001525879,1,0,0,0,1,0,"Male",2,82,1,0
"232",2008,"QC","Abitibi--T»miscamingue","Marc  Lemay",19,47.9000015258789,52.3400001525879,1,0,0,0,1,0,"Male",4,96,1,0
"233",2006,"QC","Megantic L'Erable","Marc Boulianne ** Bloc Qu»b»cois/Bloc Qu»b»cois",50,32.6199989318848,44.7400016784668,0,0,0,0,1,0,"Male",2,89,0,0
"234",2006,"ON","Ottawa--Orl»ans","Marc Godbout ** Liberal/Lib»ral",27,39.0800018310547,44.9900016784668,0,1,0,0,0,0,"Male",2,196,0,1
"235",2006,"QC","Abitibi--T»miscamingue","Marc Lemay ** Bloc Qu»b»cois/Bloc Qu»b»cois",5,52.3400001525879,57.6599998474121,1,0,0,0,1,0,"Male",2,140,0,0
"236",2008,"QC","Brossard--La Prairie","Marcel  Lussier",2,32.5999984741211,37.1699981689453,0,0,0,0,1,0,"Male",2,240,0,0
"237",2008,"QC","Hull--Aylmer","Marcel  Proulx",142,37.5,32.6699981689453,1,1,0,0,0,0,"Male",9,174,0,0
"238",2008,"ON","Beaches--East York","Maria  Minna",158,40.9000015258789,40.3899993896484,1,1,0,0,0,0,"Female",15,31,1,0
"239",2006,"ON","Beaches--East York","Maria Minna ** Liberal/Lib»ral",96,40.3899993896484,47.9300003051758,1,1,0,0,0,0,"Female",13,226,0,1
"240",2008,"QC","Ahuntsic","Maria Mourani",104,39.0999984741211,38.0999984741211,0,0,0,0,1,0,"Female",2,102,1,0
"241",2008,"QC","Argenteuil--Papineau--Mirabel","Mario  Laframboise",42,48.0999984741211,52.1300010681152,1,0,0,0,1,0,"Male",8,155,0,0
"242",2008,"ON","Davenport","Mario  Silva",88,45.7999992370605,51.8699989318848,1,1,0,0,0,0,"Male",4,61,1,0
"243",2006,"QC","Argenteuil--Papineau--Mirabel","Mario Laframboise ** Bloc Qu»b»cois/Bloc Qu»b»cois",9,52.1300010681152,57.4000015258789,1,0,0,0,1,0,"Male",6,132,0,0
"244",2006,"ON","Davenport","Mario Silva ** Liberal/Lib»ral",42,51.8699989318848,50.689998626709,1,1,0,0,0,0,"Male",2,107,0,1
"245",2008,"NS","Sydney--Victoria","Mark  Eyking",37,49.4000015258789,49.8800010681152,1,1,0,0,0,0,"Male",8,21,1,0
"246",2008,"ON","Ajax--Pickering","Mark  Holland",717,44.2999992370605,49.3800010681152,1,1,0,0,0,0,"Male",4,148,0,0
"247",2006,"ON","Ajax--Pickering","Mark Holland ** Liberal/Lib»ral",106,49.3800010681152,49.7700004577637,1,1,0,0,0,0,"Male",2,19,1,1
"248",2006,"BC","Langley","Mark Warawa ** Conservative/Conservateur",348,52.5699996948242,47.7000007629395,1,0,1,0,0,0,"Male",2,35,1,0
"249",2008,"QC","Notre Dame de Grace","Marlene  Jennings",442,44.5999984741211,43.8499984741211,1,1,0,0,0,0,"Female",15,182,0,0
"250",2008,"QC","Saint-L»onard--Saint-Michel","Massimo  Pacetti",18,57.2000007629395,57.1699981689453,1,1,0,0,0,0,"Male",6,184,0,0
"251",2006,"QC","Saint-L»onard--Saint-Michel","Massimo Pacetti ** Liberal/Lib»ral",89,57.1699981689453,63.9000015258789,1,1,0,0,0,0,"Male",4,224,0,1
"252",2008,"SK","Saskatoon--Wanuskewin","Maurice  Vellacott",253,56.4000015258789,49.3899993896484,1,0,1,0,0,0,"Male",11,115,1,1
"253",2006,"SK","Saskatoon--Wanuskewin","Maurice Vellacott ** Conservative/Conservateur",199,49.3899993896484,46.6399993896484,1,0,1,0,0,0,"Male",9,134,0,0
"254",2008,"ON","Ottawa--Vanier","Mauril  B»langer",115,46.2000007629395,42.310001373291,1,1,0,0,0,0,"Male",13,169,0,0
"255",2008,"ON","Vaughan","Maurizio  Bevilacqua",530,49.2000007629395,59.7200012207031,1,1,0,0,0,0,"Male",18,235,0,0
"256",2006,"ON","Vaughan","Maurizio Bevilacqua ** Liberal/Lib»ral",83,59.7200012207031,62.9599990844727,1,1,0,0,0,0,"Male",16,69,1,1
"257",2008,"QC","Vaudreuil-Soulanges","Meili  Faille",55,41.2999992370605,43.0800018310547,1,0,0,0,1,0,"Female",4,191,0,0
"258",2006,"QC","Vaudreuil-Soulanges","Meili Faille ** Bloc Qu»b»cois/Bloc Qu»b»cois",55,43.0800018310547,44.2900009155273,1,0,0,0,1,0,"Female",2,47,1,0
"259",2008,"MN","Brandon--Souris","Merv  Tweed",26,57.0999984741211,54.4300003051758,1,0,1,0,0,0,"Male",4,183,0,1
"260",2006,"MN","Brandon--Souris","Merv Tweed ** Conservative/Conservateur",4,54.4300003051758,51.7200012207031,1,0,1,0,0,0,"Male",2,114,0,0
"261",2008,"ON","Etobicoke--Lakeshore","Michael  Ignatieff",6625,46.0999984741211,43.6300010681152,1,1,0,0,0,0,"Male",2,253,0,0
"262",2006,"ON","Wellington--Halton Hills","Michael Chong ** Conservative/Conservateur",4,50.6699981689453,42.810001373291,1,0,1,0,0,0,"Male",2,168,0,0
"263",2008,"NS","Dartmouth--Cole Harbour","Michael John  Savage",36,39.5,42.3199996948242,1,1,0,0,0,0,"Male",4,157,0,0
"264",2006,"NS","Dartmouth--Cole Harbour","Michael Savage ** Liberal/Lib»ral",60,42.3199996948242,42.0699996948242,1,1,0,0,0,0,"Male",2,122,0,1
"265",2008,"QC","Montmorency--Charlevoix--Haute-CŸte-Nord","Michel  Guimond",70,48.9000015258789,49.1100006103516,1,0,0,0,1,0,"Male",15,73,1,0
"266",2006,"QC","Roberval--Lac-Saint-Jean","Michel Gauthier ** Bloc Qu»b»cois/Bloc Qu»b»cois",190,45.2000007629395,59.4099998474121,1,0,0,0,1,0,"Male",13,65,1,0
"267",2006,"QC","Montmorency--Charlevoix--Haute-CŸte-Nord","Michel Guimond ** Bloc Qu»b»cois/Bloc Qu»b»cois",115,49.1100006103516,60.9099998474121,1,0,0,0,1,0,"Male",13,44,1,0
"268",2008,"NB","Tobique--Mactaquac","Mike  Allen",367,57.4000015258789,43.7799987792969,1,0,1,0,0,0,"Male",2,208,0,1
"269",2008,"ON","Burlington","Mike  Wallace",393,48.4000015258789,43.1100006103516,1,0,1,0,0,0,"Male",2,27,1,1
"270",2008,"QC","RiviÀre-du-Nord","Monique  Guay",29,53.5999984741211,59.0800018310547,1,0,0,0,1,0,"Female",15,125,0,0
"271",2006,"QC","RiviÀre-du-Nord","Monique Guay ** Bloc Qu»b»cois/Bloc Qu»b»cois",15,59.0800018310547,66.3300018310547,1,0,0,0,1,0,"Female",13,87,1,0
"272",2006,"AL","Medicine Hat","Monte Solberg ** Conservative/Conservateur",1223,79.7099990844727,76.1500015258789,1,0,1,0,0,0,"Male",13,117,0,0
"273",2006,"AL","Wild Rose","Myron Thompson ** Conservative/Conservateur",186,72.1699981689453,70.5999984741211,1,0,1,0,0,0,"Male",13,71,1,0
"274",2006,"Nunavut","Nunavut","Nancy Karetak-Lindell ** Liberal/Lib»ral",12,39.9799995422363,51.2999992370605,1,1,0,0,0,0,"Female",9,49,1,1
"275",2008,"BC","Skeena--Bulkley Valley","Nathan  Cullen",1362,49.7000007629395,48.3300018310547,1,0,0,1,0,0,"Male",4,16,1,0
"276",2006,"BC","Skeena--Bulkley Valley","Nathan Cullen ** N.D.P./N.P.D.",463,48.3300018310547,37.1399993896484,1,0,0,1,0,0,"Male",2,162,0,0
"277",2008,"ON","Mississauga--Brampton South","Navdeep  Bains",278,47.5,53.939998626709,1,1,0,0,0,0,"Male",4,170,0,0
"278",2008,"QC","Laval","Nicole  Demers",32,37.7999992370605,44.3499984741211,1,0,0,0,1,0,"Female",4,39,1,0
"279",2006,"QC","Laval","Nicole Demers ** Bloc Qu»b»cois/Bloc Qu»b»cois",7,44.3499984741211,50.0900001525879,1,0,0,0,1,0,"Female",2,161,0,0
"280",2008,"BC","Fleetwood--Port Kells","Nina  Grewal",197,44.5999984741211,33.4700012207031,1,0,1,0,0,0,"Female",4,167,0,1
"281",2006,"BC","Fleetwood--Port Kells","Nina Grewal ** Conservative/Conservateur",385,33.4700012207031,35.7999992370605,1,0,1,0,0,0,"Female",2,37,1,0
"282",2006,"NFLD","St. John's East/St. John's-Est","Norman Doyle ** Conservative/Conservateur",62,46.560001373291,41.4000015258789,1,0,1,0,0,0,"Male",9,123,0,0
"283",2006,"QC","LotbiniÀre--Chutes-de-la-ChaudiÀre","Odina Desrochers ** Bloc Qu»b»cois/Bloc Qu»b»cois",0,29.6399993896484,45.9900016784668,0,0,0,0,1,0,"Male",9,77,1,0
"284",2008,"ON","Trinity--Spadina","Olivia  Chow",695,40.9000015258789,46.0299987792969,1,0,0,1,0,0,"Female",2,158,0,0
"285",2008,"ON","Mississauga--Erindale","Omar  Alghabra",253,42.2000007629395,44.810001373291,0,1,0,0,0,0,"Male",2,251,0,0
"286",2008,"QC","Honor»-Mercier","Pablo  Rodriguez",335,43.5999984741211,38.2299995422363,1,1,0,0,0,0,"Male",4,3,1,0
"287",2006,"QC","Honor»-Mercier","Pablo Rodriguez ** Liberal/Lib»ral",63,38.2299995422363,46.0999984741211,1,1,0,0,0,0,"Male",2,110,0,1
"288",2008,"ON","Sarnia--Lambton","Pat  Davidson",7,49.9000015258789,40.9799995422363,1,0,1,0,0,0,"Female",2,79,1,1
"289",2008,"MB","Winnipeg Centre","Pat  Martin",1744,48.9000015258789,48.4300003051758,1,0,0,1,0,0,"Male",11,123,0,0
"290",2006,"MB","Winnipeg Centre/Winnipeg-Centre","Pat Martin ** N.D.P./N.P.D.",650,48.4300003051758,45.3899993896484,1,0,0,1,0,0,"Male",9,11,1,0
"291",2008,"ON","Barrie","Patrick  Brown",92,52.4000015258789,41.8800010681152,1,0,1,0,0,0,"Male",2,128,0,1
"292",2008,"QC","Montmagny--L'Islet--Kamouraska--RiviÀre-du-Loup","Paul  CrÕte",45,46,52.439998626709,1,0,0,0,1,0,"Male",15,47,1,0
"293",2008,"ON","Ottawa Centre","Paul  Dewar",526,39.7000007629395,36.939998626709,1,0,0,1,0,0,"Male",2,199,0,0
"294",2008,"ON","Mississauga South","Paul  Szabo",452,44.0999984741211,44.1699981689453,1,1,0,0,0,0,"Male",15,55,1,0
"295",2008,"NB","Saint John","Paul  Zed",573,38.0999984741211,42.9199981689453,0,1,0,0,0,0,"Male",8,188,0,0
"296",2006,"QC","Montmagny--L'Islet--Kamouraska--RiviÀre-du-Loup","Paul Crete ** Bloc Qu»b»cois/Bloc Qu»b»cois",17,52.439998626709,57.1300010681152,1,0,0,0,1,0,"Male",13,41,1,0
"297",2006,"BC","New Westminster--Coquitlam","Paul Forseth ** Conservative/Conservateur",220,32.5299987792969,32.8699989318848,0,0,1,0,0,0,"Male",13,189,0,0
"298",2006,"ON","Huron--Bruce","Paul Steckle ** Liberal/Lib»ral",103,39.8400001525879,49.7900009155273,1,1,0,0,0,0,"Male",12,184,0,1
"299",2006,"ON","Mississauga South/Mississauga-Sud","Paul Szabo ** Liberal/Lib»ral",117,44.1699981689453,51.6699981689453,1,1,0,0,0,0,"Male",13,8,1,1
"300",2006,"NB","Saint John","Paul Zed ** Liberal/Lib»ral",247,42.9199981689453,43.2799987792969,1,1,0,0,0,0,"Male",6,64,1,1
"301",2008,"QC","Trois-RiviÀres","Paule  Brunelle",10,45.2999992370605,45.8699989318848,1,0,0,0,1,0,"Female",4,134,0,0
"302",2006,"QC","Trois-RiviÀres","Paule Brunelle ** Bloc Qu»b»cois/Bloc Qu»b»cois",16,45.8699989318848,56.5099983215332,1,0,0,0,1,0,"Female",2,14,1,0
"303",2006,"QC","Drummond","Pauline Picard ** Bloc Qu»b»cois/Bloc Qu»b»cois",1,49.689998626709,56.2900009155273,1,0,0,0,1,0,"Female",13,204,0,0
"304",2008,"ON","Parkdale--High Park","Peggy  Nash",436,36,40.4099998474121,0,0,0,1,0,0,"Female",2,70,1,0
"305",2008,"AL","Edmonton East","Peter  Goldring",75,50.9000015258789,50.1300010681152,1,0,1,0,0,0,"Male",11,226,0,1
"306",2008,"BC","Burnaby--New Westminster","Peter  Julian",654,46.5,38.7900009155273,1,0,0,1,0,0,"Male",4,152,0,0
"307",2008,"NS","Sackville--Eastern Shore","Peter  Stoffer",329,61.5,52.9500007629395,1,0,0,1,0,0,"Male",11,120,0,0
"308",2006,"NS","Central Nova/Nova-Centre","Peter G. MacKay ** Conservative/Conservateur",2867,40.6599998474121,43.2700004577637,1,0,1,0,0,0,"Male",9,76,1,0
"309",2006,"AL","Edmonton East/Edmonton-Est","Peter Goldring ** Conservative/Conservateur",156,50.1300010681152,46.0200004577637,1,0,1,0,0,0,"Male",9,127,0,0
"310",2006,"BC","Burnaby--New Westminster","Peter Julian ** N.D.P./N.P.D.",288,38.7900009155273,33.7200012207031,1,0,0,1,0,0,"Male",2,51,1,0
"311",2006,"NS","Sackville--Eastern Shore","Peter Stoffer ** N.D.P./N.P.D.",227,52.9500007629395,45.7700004577637,1,0,0,1,0,0,"Male",9,54,1,0
"312",2006,"ON","York--Simcoe","Peter Van Loan ** Conservative/Conservateur",50,47.9300003051758,45.1699981689453,1,0,1,0,0,0,"Male",2,187,0,0
"313",2008,"QC","Joliette","Pierre  Paquette",127,52.4000015258789,54.1199989318848,1,0,0,0,1,0,"Male",8,99,1,0
"314",2006,"QC","Joliette","Pierre A. Paquette ** Bloc Qu»b»cois/Bloc Qu»b»cois",33,54.1199989318848,63.4199981689453,1,0,0,0,1,0,"Male",6,94,0,0
"315",2006,"ON","Nepean--Carleton","Pierre Poilievre ** Conservative/Conservateur",132,54.9700012207031,45.6599998474121,1,0,1,0,0,0,"Male",2,58,1,0
"316",2008,"AL","Edmonton--Strathcona","Rahim  Jaffer",274,41.5999984741211,41.7099990844727,0,0,1,0,0,0,"Male",11,216,0,1
"317",2006,"AL","Edmonton--Strathcona","Rahim Jaffer ** Conservative/Conservateur",256,41.7099990844727,39.4000015258789,1,0,1,0,0,0,"Male",9,99,0,0
"318",2008,"SK","Wascana","Ralph  Goodale",1901,46.0999984741211,51.7799987792969,1,1,0,0,0,0,"Male",20,22,1,0
"319",2006,"BC","Pitt Meadows--Maple Ridge--Mission","Randy Kamp ** Conservative/Conservateur",320,40.189998626709,38.5099983215332,1,0,1,0,0,0,"Male",2,154,0,0
"320",2008,"BC","Richmond","Raymond  Chan",397,30.7999992370605,42.8300018310547,0,1,0,0,0,0,"Male",15,119,0,0
"321",2008,"MB","Saint Boniface","Raymond  Simard",50,35.0999984741211,38.5900001525879,0,1,0,0,0,0,"Male",6,219,0,0
"322",2006,"ON","Nickel Belt","Raymond Bonin ** Liberal/Lib»ral",25,43.310001373291,42.4099998474121,1,1,0,0,0,0,"Male",13,2,1,1
"323",2008,"QC","Laval Les Iles","Raymonde  Folco",83,40.2000007629395,39.3199996948242,1,1,0,0,0,0,"Female",11,143,0,0
"324",2006,"QC","Laval Les Iles","Raymonde Folco ** Liberal/Lib»ral",35,39.3199996948242,47.8600006103516,1,1,0,0,0,0,"Female",9,201,0,1
"325",2008,"QC","GaspÈsie_Œles-de-la-Madeleine","Raynald  Blais",17,40.9000015258789,42.689998626709,1,0,0,0,1,0,"Male",4,52,1,0
"326",2006,"QC","GaspÈsie_Œles-de-la-Madeleine","Raynald Blais ** Bloc Qu»b»cois/Bloc Qu»b»cois",1,42.689998626709,55.6699981689453,1,0,0,1,0,0,"Male",2,102,0,0
"327",2008,"QC","Hochelaga","Real  M»nard",77,49.5999984741211,55.5800018310547,1,0,0,0,1,0,"Male",15,129,0,0
"328",2006,"QC","L»vis--Bellechasse","Real Lapierre ** Bloc Qu»b»cois/Bloc Qu»b»cois",2,29.0200004577637,44.3400001525879,0,0,0,0,1,0,"Male",2,191,0,0
"329",2006,"QC","Charlesbourg--Haute-Saint-Charles","Richard Marceau ** Bloc Qu»b»cois/Bloc Qu»b»cois",246,38.2799987792969,51.5999984741211,0,0,0,0,1,0,"Male",9,130,0,0
"330",2008,"QC","Gatineau","Richard Nadeau",105,29.1299991607666,39.2000007629395,0,0,0,0,1,0,"Male",2,5,1,0
"331",2008,"AL","Lethbridge","Rick  Casson",56,67,67.3000030517578,1,0,1,0,0,0,"Male",11,4,1,1
"332",2008,"ON","St. Catharines","Rick  Dykstra",51,45.9000015258789,37.4700012207031,1,0,1,0,0,0,"Male",2,137,0,1
"333",2008,"ON","Northumberland--Quinte West","Rick  Norlock",79,48.4000015258789,41.2099990844727,1,0,1,0,0,0,"Male",2,162,0,1
"334",2006,"AL","Lethbridge","Rick Casson ** Conservative/Conservateur",52,67.3000030517578,62.6199989318848,1,0,1,0,0,0,"Male",9,38,1,0
"335",2008,"AL","Calgary West","Rob  Anders",237,57.2999992370605,58.7099990844727,1,0,1,0,0,0,"Male",11,195,0,1
"336",2008,"AL","Yellowhead","Rob  Merrifield",72,71.9000015258789,71.1900024414062,1,0,1,0,0,0,"Male",8,136,0,1
"337",2006,"AL","Calgary West/Calgary-Ouest","Rob Anders ** Conservative/Conservateur",78,58.7099990844727,55.9000015258789,1,0,1,0,0,0,"Male",9,186,0,0
"338",2006,"AL","Yellowhead","Rob Merrifield ** Conservative/Conservateur",75,71.1900024414062,68.6100006103516,1,0,1,0,0,0,"Male",6,86,1,0
"339",2006,"NB","Fundy Royal","Rob Moore ** Conservative/Conservateur",200,48.310001373291,44.8199996948242,1,0,1,0,0,0,"Male",2,4,1,0
"340",2006,"ON","Niagara Falls","Rob Nicholson ** Conservative/Conservateur",103,40.3600006103516,38.7000007629395,1,0,1,0,0,0,"Male",11,173,0,0
"341",2008,"QC","Chicoutimi--Le Fjord","Robert  Bouchard",14,41.2000007629395,38.4900016784668,1,0,0,0,1,0,"Male",4,41,1,0
"342",2008,"QC","Alfred-Pellan","Robert  Carrier",17,38.9000015258789,42.9700012207031,1,0,0,0,1,0,"Male",4,88,1,0
"343",2008,"NS","West Nova","Robert  Thibault",331,36.0999984741211,39.2400016784668,0,1,0,0,0,0,"Male",8,63,1,0
"344",2008,"QC","Shefford","Robert  Vincent",34,43.2000007629395,43.0900001525879,1,0,0,0,1,0,"Male",4,242,0,0
"345",2006,"QC","Chicoutimi--Le Fjord","Robert Bouchard ** Bloc Qu»b»cois/Bloc Qu»b»cois",12,38.4900016784668,45.3300018310547,1,0,0,0,1,0,"Male",2,169,0,0
"346",2006,"QC","Alfred-Pellan","Robert Carrier ** Bloc Qu»b»cois/Bloc Qu»b»cois",1,42.9700012207031,49.2000007629395,1,0,0,0,1,0,"Male",2,113,0,0
"347",2006,"QC","Shefford","Robert Vincent ** Bloc Qu»b»cois/Bloc Qu»b»cois",11,43.0900001525879,46.5999984741211,1,0,0,0,1,0,"Male",2,53,1,0
"348",2008,"NS","Cape Breton--Canso","Rodger  Cuzner",76,48.0999984741211,53.189998626709,1,1,0,0,0,0,"Male",8,206,0,0
"349",2006,"NS","Cape Breton--Canso","Rodger Cuzner ** Liberal/Lib»ral",44,53.189998626709,53.2599983215332,1,1,0,0,0,0,"Male",6,10,1,1
"350",2008,"QC","Montcalm","Roger  Gaudet",13,55.5,62.2799987792969,1,0,0,0,1,0,"Male",6,83,1,0
"351",2008,"ON","Kenora","Roger  Valley",12,31.7999992370605,36.5200004577637,0,1,0,0,0,0,"Male",4,135,0,0
"352",2006,"QC","Louis-H»bert","Roger Clavet ** Bloc Qu»b»cois/Bloc Qu»b»cois",5,34.0800018310547,43.1100006103516,0,0,0,0,1,0,"Male",2,12,1,0
"353",2006,"ON","Sarnia--Lambton","Roger Gallaway ** Liberal/Lib»ral",185,33.1100006103516,41.9300003051758,0,1,0,0,0,0,"Male",13,104,0,1
"354",2006,"QC","Montcalm","Roger Gaudet ** Bloc Qu»b»cois/Bloc Qu»b»cois",1,62.2799987792969,71.2399978637695,1,0,0,0,1,0,"Male",4,3,1,0
"355",2006,"ON","Kenora","Roger Valley ** Liberal/Lib»ral",13,36.5200004577637,36.2299995422363,1,1,0,0,0,0,"Male",2,30,1,1
"356",2008,"BC","Kelowna--Lake Country","Ron  Cannan",316,56,49.1699981689453,1,0,1,0,0,0,"Male",2,45,1,1
"357",2006,"AL","Edmonton--Spruce Grove","Rona Ambrose ** Conservative/Conservateur",339,66.8300018310547,60.4000015258789,1,0,1,0,0,0,"Female",2,95,0,0
"358",2008,"ON","Ottawa--Orl»ans","Royal Galipeau",NA,44.9000015258789,41.0400009155273,1,0,1,0,0,0,"Male",2,233,0,0
"359",2008,"ON","Brampton--Springdale","Ruby  Dhalla",262,40.9000015258789,47.3400001525879,1,1,0,0,0,0,"Female",4,100,1,0
"360",2006,"ON","Brampton--Springdale","Ruby Dhalla ** Liberal/Lib»ral",99,47.3400001525879,47.7299995422363,1,1,0,0,0,0,"Female",2,26,1,1
"361",2006,"BC","South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale","Russ Hiebert ** Conservative/Conservateur",333,46.6800003051758,42.6699981689453,1,0,1,0,0,0,"Male",2,135,0,0
"362",2006,"ON","Ancaster--Dundas--Flamborough--Westdale","Russ Powers ** Liberal/Lib»ral",6,34.5099983215332,39.689998626709,0,1,0,0,0,0,"Male",2,193,0,1
"363",2006,"QC","Hochelaga","R»al Menard ** Bloc Qu»b»cois/Bloc Qu»b»cois",45,55.5800018310547,60.1199989318848,1,0,0,0,1,0,"Male",13,141,0,0
"364",2008,"NS","Kings--Hants","Scott  Brison",1791,44.2000007629395,45.560001373291,1,1,0,0,0,0,"Male",11,20,1,0
"365",2008,"ON","Lanark--Frontenac--Lennox and Addington","Scott  Reid",249,55.7999992370605,51.0699996948242,1,0,1,0,0,0,"Male",8,201,0,1
"366",2008,"NFLD","Bonavista--Gander--Grand Falls--Windsor","Scott  Simms",86,70.3000030517578,52.0400009155273,1,1,0,0,0,0,"Male",4,159,0,0
"367",2006,"ON","Lanark--Frontenac--Lennox and Addington","Scott Reid ** Conservative/Conservateur",1612,51.0699996948242,48.7700004577637,1,0,1,0,0,0,"Male",6,29,1,0
"368",2006,"NFLD","Bonavista--Gander--Grand Falls--Windsor","Scott Simms ** Liberal/Lib»ral",77,52.0400009155273,48.2000007629395,1,1,0,0,0,0,"Male",2,50,1,1
"369",2006,"QC","JonquiÀre--Alma","Sebastien Gagnon ** Bloc Qu»b»cois/Bloc Qu»b»cois",12,39.2999992370605,54.9300003051758,0,0,0,0,1,0,"Male",4,142,0,0
"370",2008,"QC","Sherbrooke","Serge  Cardin",16,49.9000015258789,52.2000007629395,1,0,0,0,1,0,"Male",10,231,0,0
"371",2008,"QC","Marc-AurÀle-Fortin","Serge  M»nard",169,45.4000015258789,51,1,0,0,0,1,0,"Male",4,56,1,0
"372",2006,"QC","Sherbrooke","Serge Cardin ** Bloc Qu»b»cois/Bloc Qu»b»cois",9,52.2000007629395,58.7400016784668,1,0,0,0,1,0,"Male",8,219,0,0
"373",2006,"QC","Marc-AurÀle-Fortin","Serge Menard ** Bloc Qu»b»cois/Bloc Qu»b»cois",31,51,58.8800010681152,1,0,0,0,1,0,"Male",2,229,0,0
"374",2008,"PEI","Charlottetown","Shawn  Murphy",243,50.0999984741211,50.1599998474121,1,1,0,0,0,0,"Male",8,35,1,0
"375",2006,"AL","Calgary Southwest/Calgary-Sud-Ouest","Stephen J. Harper ** Conservative/Conservateur",22615,72.3600006103516,68.3600006103516,1,0,1,0,0,0,"Male",8,46,1,0
"376",2008,"QC","L»vis--Bellechasse","Steven  Blaney",34,45.9000015258789,46.4000015258789,1,0,1,0,0,0,"Male",2,7,1,1
"377",2006,"MB","Charleswood--St. James--Assiniboia","Steven Fletcher ** Conservative/Conservateur",246,46.9799995422363,44.2900009155273,1,0,1,0,0,0,"Male",2,214,0,0
"378",2006,"BC","Okanagan--Coquihalla","Stockwell Day ** Conservative/Conservateur",1280,50.2400016784668,49.7900009155273,1,0,1,0,0,0,"Male",6,73,1,0
